customer_id,customer_name,segment,city,state,postal_code,region,country
CG-12520,Claire Gute,Consumer,Henderson,Kentucky,42420,South,United States
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,90036,West,United States
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,33311,South,United States
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,90032,West,United States
AA-10480,Andrew Allen,Consumer,Concord,North Carolina,28027,South,United States
IM-15070,Irene Maddox,Consumer,Seattle,Washington,98103,West,United States
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,76106,Central,United States
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,53711,Central,United States
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,84084,West,United States
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,94109,West,United States
KB-16585,Ken Black,Corporate,Fremont,Nebraska,68025,Central,United States
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,19140,East,United States
EB-13870,Emily Burns,Consumer,Orem,Utah,84057,West,United States
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,90049,West,United States
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,19140,East,United States
MA-17560,Matt Abelman,Home Office,Houston,Texas,77095,Central,United States
GH-14485,Gene Hale,Corporate,Richardson,Texas,75080,Central,United States
SN-20710,Steve Nguyen,Home Office,Houston,Texas,77041,Central,United States
LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,60540,Central,United States
RA-19885,Ruben Ausman,Corporate,Los Angeles,California,90049,West,United States
ES-14080,Erin Smith,Corporate,Melbourne,Florida,32935,South,United States
ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,55122,Central,United States
PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,48185,Central,United States
LH-16900,Lena Hernandez,Consumer,Dover,Delaware,19901,East,United States
DP-13000,Darren Powers,Consumer,New Albany,Indiana,47150,Central,United States
JM-15265,Janet Molinari,Corporate,New York City,New York,10024,East,United States
TB-21055,Ted Butterfield,Consumer,Troy,New York,12180,East,United States
KM-16720,Kunst Miller,Consumer,Los Angeles,California,90004,West,United States
PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,60610,Central,United States
BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,85234,West,United States
KD-16270,Karen Daniels,Consumer,Springfield,Virginia,22153,South,United States
HM-14980,Henry MacAllister,Consumer,New York City,New York,10009,East,United States
TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,49201,Central,United States
JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,38109,South,United States
KB-16600,Ken Brennan,Corporate,Houston,Texas,77041,Central,United States
JE-15745,Joel Eaton,Consumer,Houston,Texas,77070,Central,United States
SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,35601,South,United States
DN-13690,Duane Noonan,Consumer,San Francisco,California,94122,West,United States
JC-16105,Julie Creighton,Corporate,Durham,North Carolina,27707,South,United States
CS-12400,Christopher Schild,Home Office,Chicago,Illinois,60623,Central,United States
PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,29203,South,United States
PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,55901,Central,United States
GM-14455,Gary Mitchum,Home Office,Houston,Texas,77095,Central,United States
JS-15685,Jim Sink,Corporate,Los Angeles,California,90036,West,United States
KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,55407,Central,United States
RB-19705,Roger Barcio,Home Office,Portland,Oregon,97206,West,United States
PN-18775,Parhena Norris,Home Office,New York City,New York,10009,East,United States
KD-16345,Katherine Ducich,Consumer,San Francisco,California,94122,West,United States
ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,55106,Central,United States
RB-19465,Rick Bensley,Home Office,Chicago,Illinois,60610,Central,United States
GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,55901,Central,United States
LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,80013,West,United States
JM-15250,Janet Martin,Consumer,Charlotte,North Carolina,28205,South,United States
PA-19060,Pete Armstrong,Home Office,Orland Park,Illinois,60462,Central,United States
CV-12805,Cynthia Voltz,Corporate,New York City,New York,10035,East,United States
CL-12565,Clay Ludtke,Consumer,Urbandale,Iowa,50322,Central,United States
RC-19960,Ryan Crowe,Consumer,Columbus,Ohio,43229,East,United States
DK-13090,Dave Kipp,Consumer,Seattle,Washington,98103,West,United States
GG-14650,Greg Guthrie,Corporate,Bristol,Tennessee,37620,South,United States
SC-20725,Steven Cartwright,Consumer,Wilmington,Delaware,19805,East,United States
AD-10180,Alan Dominguez,Home Office,Houston,Texas,77041,Central,United States
PF-19165,Philip Fox,Consumer,Bloomington,Illinois,61701,Central,United States
TS-21610,Troy Staebel,Consumer,Phoenix,Arizona,85023,West,United States
LS-16975,Lindsay Shagiari,Home Office,Los Angeles,California,90004,West,United States
DW-13585,Dorothy Wardle,Corporate,Columbus,Ohio,43229,East,United States
LC-16885,Lena Creighton,Consumer,Roseville,California,95661,West,United States
JD-15895,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,19140,East,United States
SH-19975,Sally Hughsby,Corporate,San Francisco,California,94122,West,United States
SG-20080,Sandra Glassco,Consumer,Independence,Missouri,64055,Central,United States
HA-14920,Helen Andreada,Consumer,Pasadena,California,91104,West,United States
MG-17680,Maureen Gastineau,Home Office,Newark,Ohio,43055,East,United States
JE-16165,Justin Ellison,Corporate,Franklin,Wisconsin,53132,Central,United States
TW-21025,Tamara Willingham,Home Office,Scottsdale,Arizona,85254,West,United States
SP-20650,Stephanie Phelps,Corporate,San Jose,California,95123,West,United States
NK-18490,Neil Knudson,Home Office,Seattle,Washington,98105,West,United States
DB-13060,Dave Brooks,Consumer,Seattle,Washington,98115,West,United States
NP-18670,Nora Paige,Consumer,Edmond,Oklahoma,73034,Central,United States
TT-21070,Ted Trevino,Consumer,Los Angeles,California,90045,West,United States
EM-13960,Eric Murdock,Consumer,Philadelphia,Pennsylvania,19134,East,United States
